User ID,E/I,S/N,T/F,J/P,Kelas
1,Tinggi,Rendah,Rendah,Tinggi,ESTP
2,Rendah,Rendah,Rendah,Rendah,ISTJ
3,Rendah,Rendah,Rendah,Tinggi,ISTP
4,Tinggi,Tinggi,Rendah,Rendah,ENTJ
5,Tinggi,Rendah,Rendah,Tinggi,ESTP
6,Rendah,Rendah,Rendah,Rendah,ISTJ
7,Tinggi,Rendah,Rendah,Tinggi,ESTP
8,Tinggi,Rendah,Rendah,Tinggi,ESTP
9,Rendah,Rendah,Rendah,Rendah,ISTJ
10,Rendah,Rendah,Rendah,Rendah,ISTJ
11,Tinggi,Rendah,Rendah,Tinggi,ESTP
12,Tinggi,Rendah,Rendah,Tinggi,ESTP
13,Rendah,Rendah,Rendah,Tinggi,ISTP
14,Rendah,Rendah,Rendah,Rendah,ISTJ
15,Tinggi,Tinggi,Rendah,Tinggi,ENTP
16,Rendah,Rendah,Rendah,Tinggi,ISTP
17,Tinggi,Tinggi,Tinggi,Tinggi,ENFP
18,Rendah,Rendah,Rendah,Tinggi,ISTP
19,Rendah,Tinggi,Rendah,Rendah,INTJ
20,Tinggi,Rendah,Rendah,Tinggi,ESTP
21,Rendah,Rendah,Rendah,Rendah,ISTJ
22,Tinggi,Tinggi,Rendah,Tinggi,ENTP
23,Rendah,Rendah,Rendah,Tinggi,ISTP
24,Tinggi,Rendah,Rendah,Tinggi,ESTP
25,Rendah,Tinggi,Rendah,Rendah,INTJ
26,Tinggi,Rendah,Rendah,Tinggi,ESTP
27,Rendah,Tinggi,Rendah,Rendah,INTJ
28,Rendah,Rendah,Rendah,Tinggi,ISTP
29,Tinggi,Tinggi,Rendah,Tinggi,ENTP
30,Rendah,Tinggi,Rendah,Tinggi,INTP
31,Rendah,Rendah,Rendah,Tinggi,ISTP
32,Rendah,Rendah,Rendah,Rendah,ISTJ
33,Rendah,Rendah,Rendah,Rendah,ISTJ
34,Rendah,Rendah,Tinggi,Tinggi,ISTJ
35,Rendah,Rendah,Rendah,Rendah,ISTJ
36,Tinggi,Tinggi,Rendah,Tinggi,ENTP
37,Tinggi,Rendah,Rendah,Tinggi,ESTP
38,Tinggi,Tinggi,Rendah,Tinggi,ENTP
39,Rendah,Rendah,Rendah,Rendah,ISTJ
40,Rendah,Tinggi,Rendah,Tinggi,INTP
41,Rendah,Rendah,Tinggi,Rendah,ISFJ
42,Rendah,Rendah,Rendah,Tinggi,ISTP
43,Rendah,Tinggi,Rendah,Tinggi,INTP
44,Rendah,Rendah,Rendah,Tinggi,ISTP
45,Rendah,Rendah,Rendah,Tinggi,ISTP
46,Rendah,Tinggi,Tinggi,Tinggi,INFP
47,Tinggi,Rendah,Rendah,Rendah,ESTJ
48,Rendah,Rendah,Rendah,Tinggi,ISTP
49,Rendah,Tinggi,Rendah,Rendah,INTJ
50,Rendah,Rendah,Rendah,Tinggi,ISTP
51,Rendah,Rendah,Rendah,Rendah,ISTJ
52,Rendah,Rendah,Rendah,Tinggi,ISTP
53,Rendah,Rendah,Rendah,Tinggi,ISTP
54,Rendah,Rendah,Rendah,Tinggi,ISTP
55,Rendah,Tinggi,Rendah,Rendah,INTJ
56,Tinggi,Rendah,Rendah,Tinggi,ESTP
57,Rendah,Rendah,Rendah,Rendah,ISTJ
58,Rendah,Rendah,Rendah,Tinggi,ISTP
59,Rendah,Rendah,Rendah,Rendah,ISTJ
60,Rendah,Tinggi,Rendah,Rendah,INTJ
61,Tinggi,Tinggi,Rendah,Rendah,ENTJ
62,Tinggi,Tinggi,Rendah,Rendah,ENTJ
63,Rendah,Rendah,Rendah,Tinggi,ISTP
64,Rendah,Rendah,Rendah,Tinggi,ISTP
65,Tinggi,Rendah,Rendah,Tinggi,ESTP
66,Rendah,Tinggi,Rendah,Rendah,INTJ
67,Tinggi,Rendah,Rendah,Tinggi,ESTP
68,Rendah,Rendah,Rendah,Rendah,ISTJ
69,Tinggi,Tinggi,Rendah,Rendah,ENTJ
70,Rendah,Rendah,Rendah,Tinggi,ISTP
71,Rendah,Rendah,Rendah,Tinggi,ISTP
72,Tinggi,Rendah,Rendah,Rendah,ESTJ
73,Tinggi,Rendah,Rendah,Tinggi,ESTP
74,Tinggi,Rendah,Rendah,Tinggi,ESTP
75,Tinggi,Tinggi,Rendah,Tinggi,ENTP
76,Rendah,Rendah,Rendah,Rendah,ISTJ
77,Rendah,Rendah,Rendah,Rendah,ISTJ
78,Rendah,Tinggi,Rendah,Tinggi,INTP
79,Rendah,Tinggi,Rendah,Rendah,INTJ
80,Tinggi,Rendah,Rendah,Tinggi,ESTP
81,Tinggi,Tinggi,Rendah,Tinggi,ENTP
82,Tinggi,Tinggi,Rendah,Tinggi,ENTP
83,Rendah,Rendah,Rendah,Rendah,ISTJ
84,Rendah,Tinggi,Tinggi,Tinggi,INFP
85,Rendah,Rendah,Rendah,Tinggi,ISTP
86,Rendah,Tinggi,Rendah,Rendah,INTJ
87,Rendah,Tinggi,Tinggi,Rendah,INFJ
88,Rendah,Rendah,Rendah,Rendah,ISTJ
89,Rendah,Rendah,Rendah,Tinggi,ISTP
90,Rendah,Rendah,Rendah,Rendah,ISTJ
91,Rendah,Tinggi,Rendah,Rendah,INTJ
92,Rendah,Rendah,Rendah,Rendah,ISTJ
